–	Ziemia Œwiat	6 580 500 200	6 658 506 778	6 737 215 097	6 815 816 775	6 945 113 989	7 021 836 029	7 323 187 457	7 405 107 650
1	Chiñska Republika Ludowa Chiñska Republika Ludowa	1 314 480 000	1 321 290 000	1 328 020 000	1 338 612 968	1 336 718 015	1 343 239 923	1 373 541 278	1 379 302 771
2	Indie Indie	1 095 351 995	1 129 866 154	1 147 995 898	1 166 079 217	1 189 172 906	1 205 073 612	1 266 883 598	1 281 935 911
–	Unia Europejska Unia Europejska	486 642 177	490 426 060	491 018 677	491 582 852	492 387 344	503 824 373	515 052 778	516 195 432
3	Stany Zjednoczone Stany Zjednoczone	298 444 215	301 139 947	305 548 000	307 212 123	313 232 044	313 847 465	323 995 528	326 625 791
4	Indonezja Indonezja	245 452 739	234 693 997	237 512 355	240 271 522	245 613 043	248 216 193	258 316 051	260 580 739
5	Brazylia Brazylia	188 078 227	190 010 647	191 908 598	198 739 269	203 429 773	205 716 890	205 823 665	207 353 391
6	Pakistan Pakistan	165 803 560	164 741 924	167 762 040	176 242 949	187 342 721	190 291 129	201 995 540	204 924 861
7	Nigeria Nigeria	131 859 731	135 031 164	138 283 240	149 229 090	155 215 573	170 123 740	186 053 386	190 632 261
8	Bangladesz Bangladesz	147 365 352	150 448 339	153 546 901	156 050 883	158 570 535	161 083 804	156 186 882	157 826 578
9	Rosja Rosja	142 893 540	141 377 752	140 702 094	140 041 247	138 739 892	138 082 178	142 355 415	142 257 519
10	Japonia Japonia	127 463 611	127 433 494	127 288 419	127 078 679	126 475 664	127 368 088	126 702 133	126 451 398
11	Meksyk Meksyk	107 449 525	108 700 891	109 955 400	111 211 789	113 724 226	114 975 406	123 166 749	124 574 795
12	Etiopia Etiopia	74 777 981	76 511 887	78 254 090	85 237 338	90 873 739	93 815 992	102 374 044	105 350 020
13	Filipiny Filipiny	89 468 677	91 077 287	92 681 453	97 976 603	101 833 938	103 775 002	102 624 209	104 256 076
14	Egipt Egipt	78 887 007	80 335 036	81 713 517	83 082 869	82 079 636	83 688 164	94 666 993	97 041 072
15	Wietnam Wietnam	84 402 966	85 262 356	86 116 559	86 967 524	90 549 390	91 519 289	95 261 021	96 160 163
16	Demokratyczna Republika Konga Demokratyczna Republika Konga	62 660 551	65 751 512	66 514 506	68 692 542	71 712 867	73 599 190	81 331 050	83 301 151
17	Iran Iran	68 688 433	65 397 521	65 875 223	66 429 284	77 891 220	78 868 711	82 801 633	82 021 564
18	Turcja Turcja	70 413 958	71 158 647	71 892 807	76 805 524	78 785 548	79 749 461	80 274 604	80 845 215
19	Niemcy Niemcy	82 422 299	82 400 996	82 369 548	82 329 758	81 471 834	81 305 856	80 772 792	80 594 017
20	Tajlandia Tajlandia	64 631 595	65 068 149	65 493 298	65 905 410	66 720 153	67 091 089	68 200 824	68 414 135
21	Francja Francja	62 752 136	63 713 926	64 057 790	64 057 792	65 312 249	65 630 692	66 836 154	67 106 161
22	Wielka Brytania Wielka Brytania	60 609 153	60 776 238	60 943 912	61 113 205	62 698 362	63 047 162	64 430 428	64 769 452
23	W³ochy W³ochy	58 133 509	58 147 733	58 145 321	58 126 212	61 016 804	61 261 254	62 007 540	62 137 802
24	Mjanma Mjanma	47 382 633	47 373 958	47 758 181	48 137 741	53 999 804	54 584 650	56 890 418	55 123 814
25	 Po³udniowa Afryka	44 187 637	43 997 828	43 786 115	49 052 489	49 004 031	48 810 427	54 300 704	54 841 552
